Variable,GVIF_initial,GVIF_post_exclusion,df,RVI
Gear type,14.95,,8,
Communication with fishers,4.76,1.86,4,0.045
Cost per trip (standardized),4.67,2.00,1,0.986
Income per trip (standardized),4.67,,1,
Departure harbour (Site),2.89,2.28,2,1.000
Target sharks,2.32,1.76,1,0.514
Top species catch group,2.29,1.74,3,0.140
AIS,2.23,2.05,1,0.823
Regulation awareness,1.83,1.47,3,0.054
Vessel length (standardized),1.68,1.42,1,0.298
Fishing experience (standardized),1.52,1.38,1,0.465
Navigation apps,1.43,1.32,1,0.246
Subsidy,1.41,1.22,1,0.374
VMS,1.32,1.21,1,0.248
