Section,Characteristic_Variable,Cluster_1_n43,Cluster_2_n33,Cluster_3_n72
Spatial Performance Indicators,Mean fishing distance (km),477.6 ± 498.3,908.3 ± 438.2,"1,156.3 ± 972.2"
Vessel & Economic Attributes,Vessel running cost (USD),"2,113.0 ± 932.5","4,496.1 ± 2,144.0","7,783.4 ± 3,427.8"
Vessel & Economic Attributes,Vessel length (feet),57.7 ± 7.7,59.9 ± 7.4,63.1 ± 6.3
Vessel & Economic Attributes,Fishing experience (years),23.4 ± 8.6,31.9 ± 8.9,25.4 ± 8.6
Starting Point Distribution,Site A,11 (25.6%),33 (100.0%),72 (100.0%)
Starting Point Distribution,Site B,11 (25.6%),0 (0.0%),0 (0.0%)
Starting Point Distribution,Site C,21 (48.8%),0 (0.0%),0 (0.0%)
Tracking Technology Adoption,AIS Possession [No],31 (72.1%),7 (21.2%),0 (0.0%)
Tracking Technology Adoption,AIS Possession [Yes],12 (27.9%),26 (78.8%),72 (100.0%)
Tracking Technology Adoption,VMS Possession [No],0 (0.0%),8 (24.2%),2 (2.8%)
Tracking Technology Adoption,VMS Possession [Yes],43 (100.0%),25 (75.8%),70 (97.2%)
Operational Infrastructure,Mobile navigation apps [No],1 (2.3%),23 (69.7%),11 (15.3%)
Operational Infrastructure,Mobile navigation apps [Yes],42 (97.7%),10 (30.3%),61 (84.7%)
Operational Infrastructure,Fuel Subsidy [No],22 (51.2%),20 (60.6%),24 (33.3%)
Operational Infrastructure,Fuel Subsidy [Yes],21 (48.8%),13 (39.4%),48 (66.7%)
Targeting Profiles,Targeted shark fishing [No],43 (100.0%),21 (63.6%),20 (27.8%)
Targeting Profiles,Targeted shark fishing [Yes],0 (0.0%),12 (36.4%),52 (72.2%)
Top Species Catch Group,Cephalopods,15 (34.9%),1 (3.0%),11 (15.3%)
Top Species Catch Group,Coral Reef,1 (2.3%),0 (0.0%),9 (12.5%)
Top Species Catch Group,Large Pelagic,27 (62.8%),23 (69.7%),52 (72.2%)
Top Species Catch Group,Sharks,0 (0.0%),9 (27.3%),0 (0.0%)
